Reporting_Date,Ticker,Normalized Weighted Score,Simple Average Score,Ranking
2024-11-09,SFM,100.0,1.0,1.0
2024-11-09,SMR,32.02852566012521,0.21588242556502776,2.0
2024-11-09,IDCC,28.83740565973557,0.21995019412527592,3.0
2024-11-09,PHYS,27.096232559013888,0.1785508998247683,4.0
2024-11-09,COST,25.854927057848936,0.1653287029926149,5.0
2024-11-09,CL,25.565217610496553,0.15817193198608184,6.0
2024-11-09,GDX,24.12714537759724,0.16251770464479617,7.0
2024-11-09,FICO,23.269972447410385,0.1658866396335602,8.0
2024-11-09,BKNG,23.019403986363844,0.15101976579994733,9.0
2024-11-09,NEE,21.891348496003047,0.10910728810385975,10.0
2024-11-09,SLV,21.276514971570652,0.1283171864315474,11.0
2024-11-09,LMT,20.58766373241431,0.10814459235431927,12.0
2024-11-09,MP,20.359718402121786,0.075085044425335,13.0
2024-11-09,DASH,20.01129955595576,0.1163587643357663,14.0
2024-11-09,T,19.329905494911376,0.09344436639890642,15.0
2024-11-09,GEVO,19.260883172638987,0.09468923114053697,16.0
2024-11-09,LNTH,18.725697500977372,0.10105777710854652,17.0
2024-11-09,ZROZ,16.8690996911626,0.04037804352970907,18.0
2024-11-09,WPM,15.211635524717526,0.07711707414465704,19.0
2024-11-09,TMF,14.792728501521077,0.019960937046660337,20.0
2024-11-09,EDV,14.580373042354841,0.01278489652459267,21.0
2024-11-09,DHI,14.184273815543138,0.0769860733086831,22.0
2024-11-09,WMT,14.183263458618395,0.06960227375992366,23.0
2024-11-09,DIS,13.778295696070913,0.052397142228994144,24.0
2024-11-09,VXX,12.490707356008839,0.014996518496546285,25.0
2024-11-09,HQY,11.678730952086038,0.02467733797959901,26.0
2024-11-09,FLR,11.080110941042225,0.01768639617121247,27.0
2024-11-09,CHWY,10.834479547912574,0.009194206654673577,28.0
2024-11-09,TKO,10.492339256597006,-0.011728625163896306,29.0
2024-11-09,NU,10.40591747125485,0.048577439955284296,30.0
2024-11-09,META,10.090877573788722,0.03081798864599167,31.0
2024-11-09,PANW,9.416762525691519,0.007342071879802435,32.0
2024-11-09,^TNX,8.879045579668073,-0.03520824467210066,33.0
2024-11-09,AAPL,6.478932951431466,-0.013172001721972726,34.0
2024-11-09,GOOG,5.658312417506757,-0.0017503661095776748,35.0
2024-11-09,CCJ,5.019624626786686,-0.015020922854097687,36.0
2024-11-09,MSFT,0.0,-0.06738776796114687,37.0
2024-11-09,^IXIC,,0.02221328577034005,
2024-11-09,^VIX,,0.03996052881039949,
2024-11-09,^IRX,,-0.059401632727187396,
2024-11-09,TLT,,0.03129461167299971,
2024-11-09,SHY,,0.06352055037806192,
2024-11-09,GOVT,,0.038373611295345805,
2024-11-09,UVXY,,-0.0009971105200426078,
2024-11-09,MTUM,,0.11433484545773966,
2024-11-09,QQQ,,0.011730457118428307,
2024-11-09,QQQM,,0.01358664960509295,
2024-11-09,VOOG,,0.05706902760380286,
2024-11-09,VGT,,0.028550103048090456,
2024-11-09,XLU,,0.19708581581181164,
2024-11-09,AVGO,,0.01642805717471271,
2024-11-09,AMZN,,-0.03514150433352946,
2024-11-09,NVDA,,0.020737414492968047,
2024-11-09,GLD,,0.21900715175713367,
2024-11-09,IAU,,0.20970557656807465,
2024-11-09,PLTR,,0.006720398071878049,
2024-11-09,QUBT,,0.0620169503937223,
2024-11-09,IONQ,,0.017811349750478815,
2024-11-09,APLD,,0.0019605684126751924,
2024-11-09,LMND,,0.06994208536766325,
2024-11-09,VRT,,0.07772993839241046,
2024-11-09,RKLB,,0.1131542956520478,
2024-11-09,AFRM,,-0.011706187227128025,
2024-11-09,ESOA,,0.08214299282471195,
2024-11-09,VNO,,0.08310154624632654,
2024-11-09,RVMD,,0.15584598353016743,
2024-11-09,SE,,0.24521723251421998,
